town,clerk_email,status,note
Alexandria,clerktax@alexandrianh.gov,CONFIRMED,will add
Alton,townclerk@alton.nh.gov,CONFIRMED,will add
Atkinson,clerktax@atkinson-nh.gov,CONFIRMED,will add
Auburn,townclerk@townofauburnnh.com,CONFIRMED,will add
Barrington,kkerekes@barrington.nh.gov,CONFIRMED,will add
Belmont,tctc@belmontnh.gov,CONFIRMED,"added to list (replied ""Received and added"")"
Bow,mnaik@bownh.gov,CONFIRMED,will add
Bradford,tc@bradfordnh.gov,CONFIRMED,will add
Campton,tctx@camptonnh.gov,CONFIRMED,will add
Claremont,cityclerk@claremontnh.com,CONFIRMED,will add
Colebrook,jmartunas@colebrooknh.org,CONFIRMED,will add
Croydon,townclerk@croydon-nh.com,CONFIRMED,will add
Dalton,town.clerk@townofdalton.com,CONFIRMED,will add
Danville,mhealy@townofdanville.org,CONFIRMED,will add
Deering,townclerk@deeringnh.gov,CONFIRMED,will add
Derry,townclerk@derrynh.gov,CONFIRMED,will add
Dublin,townclerk@townofdublin.org,CONFIRMED,will add
Durham,rdeane@ci.durham.nh.us,CONFIRMED,will add
Franklin,mstanyan@franklinnh.gov,CONFIRMED,will add
Gilford,dlafond@gilfordnh.gov,CONFIRMED,will add
Goshen,townofgoshen@goshennh.org,CONFIRMED,will add
Greenfield,townclerk@greenfield-nh.gov,CONFIRMED,will add
Hampstead,townclerk@hampsteadnh.us,CONFIRMED,will add
Hampton Falls,townclerkcollect@hamptonfalls.org,CONFIRMED,will add
Harrisville,townclerk@harrisvillenh.org,CONFIRMED,"will add (replied ""Done"")"
Henniker,deb.aucoin@hennikernh.gov,CONFIRMED,will add
Kensington,townclerk@kensingtonnh.gov,CONFIRMED,will add
Manchester,elections@manchesternh.gov,CONFIRMED,will add
Moultonborough,townclerk@moultonboroughnh.gov,CONFIRMED,will add
Nelson,townclerk@nelsonnh.us,CONFIRMED,will add
New Boston,k.colbert@newbostonnh.gov,CONFIRMED,will add
Newport,ldufort@newportnh.gov,CONFIRMED,will add
Plymouth,townclerk@plymouthnh.gov,CONFIRMED,will add
Randolph,townclerk@randolph.nh.gov,CONFIRMED,will add
Rindge,townclerk@rindgenh.gov,CONFIRMED,will add
Rochester,cityclerk@rochesternh.gov,CONFIRMED,will add
Somersworth,klapanne@somersworthnh.gov,CONFIRMED,will add
South Hampton,tctx@southhamptonnh.org,CONFIRMED,will add
Strafford,townclerk@strafford.nh.gov,CONFIRMED,will add
Whitefield,townclerk@whitefieldnh.gov,CONFIRMED,will add
Wilmot,wilmot_tc@wilmotnh.org,CONFIRMED,will add
Wolfeboro,townclerk@wolfeboronh.us,CONFIRMED,will add
Amherst,lfucci@amherstnh.gov,FOLLOW-UP,auto-reply (OOO) -> ndemers@amherstnh.gov
Ashland,townoffice@ashland.nh.gov,FOLLOW-UP,auto-reply only (back 6/30)
Chatham,townclerk@chathamnh.org,FOLLOW-UP,asked to re-request closer to election day
Francestown,clerkandtax@francestownnh.org,FOLLOW-UP,will add; asked to circle back end of Aug — auto-reminder scheduled 2026-08-31
Gilmanton,tctx@gilmantonnh.gov,FOLLOW-UP,auto-reply only (tax season)
Gorham,svalliere@gorhamnh.gov,FOLLOW-UP,Willhoite left -> svalliere@/ccole@gorhamnh.gov
Hanover,townclerk@hanovernh.org,FOLLOW-UP,election -> bobbie.hitchcock@hanovernh.org
Keene,keenevotes@keenenh.gov,FOLLOW-UP,"use thood@keenenh.gov (KeeneVotes, election periods)"
Lyman,lymantc@myfairpoint.net,FOLLOW-UP,wants a reminder the week before the election
Sunapee,joshua@sunapeenh.gov,FOLLOW-UP,auto-reply only (was OOO 6/25-26)
Columbia,townclerk@columbianh.org,BAD ADDRESS,dead: towncolumbia@myfairpoint.net
Lyme,townclerk@lymenh.gov,BAD ADDRESS,transient bounce (SES retrying)
Salisbury,tclerksalisbury@gmail.com,BAD ADDRESS,transient bounce (office was closed)
Acworth,atclerk@sover.net,OUTSTANDING,
Albany,townclerk@albanynh.org,OUTSTANDING,
Allenstown,jtate@allenstownnh.gov,OUTSTANDING,
Alstead,jbacon@alsteadnh.gov,OUTSTANDING,
Andover,tctc@andover-nh.gov,OUTSTANDING,
Antrim,townclerk@antrimnh.gov,OUTSTANDING,
Atkinson & Gilmanton Academy Grant,erroltownclerk@gmail.com,OUTSTANDING,
Barnstead,jfifield@barnstead.org,OUTSTANDING,
Bartlett,townclerk@townofbartlett.nh.gov,OUTSTANDING,
Beans Grant,czornio@gorhamnh.org,OUTSTANDING,
Beans Purchase,tctx@townofshelburnenh.gov,OUTSTANDING,
Bedford,wcarter@bedfordnh.gov,OUTSTANDING,
Bennington,townclerk@townofbennington.com,OUTSTANDING,
Benton,mstiebitz@att.net,OUTSTANDING,
Berlin,sfortin@berlinnh.gov,OUTSTANDING,
Bethlehem,townclerk@bethlehemnh.org,OUTSTANDING,
Boscawen,nhoyt@boscawennh.gov,OUTSTANDING,
Brentwood,townclerk@brentwoodnh.gov,OUTSTANDING,
Bridgewater,bridgewatertownclerk1@gmail.com,OUTSTANDING,
Bristol,cherbert@bristolnh.gov,OUTSTANDING,
Brookfield,townclerk@brookfieldnh.org,OUTSTANDING,
Brookline,patti@brooklinenh.gov,OUTSTANDING,
Cambridge,erroltownclerk@gmail.com,OUTSTANDING,
Canaan,alabrie@canaannh.org,OUTSTANDING,
Candia,townclerk@townofcandia.org,OUTSTANDING,
Canterbury,spapps@canterburynh.gov,OUTSTANDING,
Carroll,townclerk@townofcarrollnh.gov,OUTSTANDING,
Center Harbor,townclerk@centerharbornh.gov,OUTSTANDING,
Chandlers Purchase,czornio@gorhamnh.org,OUTSTANDING,
Charlestown,patricia@charlestown-nh.gov,OUTSTANDING,
Chester,jcelentano@chesternh.org,OUTSTANDING,
Chesterfield,townclerk@nhchesterfield.com,OUTSTANDING,
Chichester,townclerk@chichesternh.org,OUTSTANDING,
Clarksville,kim@clarksville.nh.gov,OUTSTANDING,
