Town/City,Clerk,Address,Phone (Area Code 603),Fax,E-Mail,Town Website Address,Polling Hours,Polling Place
ACWORTH,CHARLOTTE COMEAU,PO BOX 37 ACWORTH 03601,835-6879,Not Applicable,ATCLERK@SOVER.NET,WWW.ACWORTHNH.NET,10:00 AM - 7:00 PM,ACWORTH TOWN HALL 13 TOWN HALL RD ACWORTH 03601
ALBANY,SANDRA VIZARD,1972 NH ROUTE 16 ALBANY 03818,447-2877,447-2877,TOWNCLERK@ALBANYNH.ORG,WWW.ALBANYNH.ORG,10:00 AM - 6:00 PM,ALBANY TOWN HALL 1972 ROUTE 16 ALBANY 03818
ALEXANDRIA,FRANCINE M SKIFFINGTON,47 WASHBURN ROAD ALEXANDRIA 03222,744-3288,744-8577,CLERKTAX@ALEXANDRIANH.GOV,WWW.ALEXANDRIANH.COM,11:00 AM - 7:00 PM,OLD TOWN HALL 45 WASHBURN RD ALEXANDRIA 03222
ALLENSTOWN,JACQUELENE TATE,16 SCHOOL STREET ALLENSTOWN 03275,485-4276,Not Applicable,jtate@allenstownnh.gov,WWW.ALLENSTOWNNH.GOV,08:00AM - 07:00PM,ALLENSTOWN ELEMENTARY SCHOOL 30 MAIN ST ALLENSTOWN 03275
ALSTEAD,JULIE ANN BACON,PO BOX 65 ALSTEAD 03602,835-2242,835-2178,JBACON@ALSTEADNH.GOV,WWW.ALSTEADNH.GOV,8:00 AM - 7:00 PM,TOWN HALL 9 MAIN ST ALSTEAD 03602
ALTON,JENNIFER COLLINS,PO BOX 637 ALTON 03809,875-2101,651-0732,TOWNCLERK@ALTON.NH.GOV,WWW.ALTON.NH.GOV,7:00 AM - 7:00 PM,PROSPECT MOUNTAIN HIGH SCHOOL 242 SUNCOOK VALLEY RD ALTON 03809
AMHERST,NANCY A DEMERS,2 MAIN ST AMHERST 03031,673-6041,673-4138,LFUCCI@AMHERSTNH.GOV,WWW.AMHERSTNH.GOV,6:00 AM - 8:00 PM,SOUHEGAN HIGH SCHOOL 412 BOSTON POST RD AMHERST 03031
ANDOVER,LISA R MEIER,PO BOX 361 ANDOVER 03216,735-4141,735-6975,TCTC@ANDOVER-NH.GOV,WWW.ANDOVER-NH.GOV,11:00 AM - 7:00 PM,ANDOVER ELEMENTARY MIDDLE SCHOOL 20 SCHOOL ST ANDOVER 03216
ANTRIM,ANN GILBERT,PO BOX 517 ANTRIM 03440,588-6785,588-2969,townclerk@antrimnh.gov,WWW.ANTRIMNH.ORG,8:00 AM - 7:00 PM,ANTRIM TOWN HALL 66 MAIN ST ANTRIM 03440
ASHLAND,REBECCA L HARTLEY,PO BOX 517 ASHLAND 03217,968-4432,968-3776,TOWNOFFICE@ASHLAND.NH.GOV,WWW.ASHLAND.NH.GOV,8:00 AM - 7:00 PM,WILLIAM J. TIRONE GYMNASIUM 27 HIGHLAND ST ASHLAND 03217
ATKINSON,JULIANNA CAMILLE HALE,19 ACADEMY AVE ATKINSON 03811,362-4920,362-5305,CLERKTAX@ATKINSON-NH.GOV,WWW.TOWN-ATKINSONNH.COM,7:00AM - 8:00PM,ATKINSON COMMUNITY CENTER 4 MAIN ST ATKINSON 03811
AT.& GIL. AC. GT.,DONNA M DEMERS,po box 100 AT.& GIL. AC. GT. 03579,482-3351,Not Applicable,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,3:00PM - 7:00PM,ERROL TOWN HALL 33 DUMONT ST AT.& GIL. AC. GT. 03576
AUBURN,CAITLYN MARY FOLIA,47 CHESTER RD AUBURN 03032,483-2281,483-0518,TOWNCLERK@TOWNOFAUBURNNH.COM,AUBURNNH.US,7:00 AM - 7:00 PM,AUBURN VILLAGE SCHOOL 11 EATON HILL RD AUBURN 03032
BARNSTEAD,JESSIE L FIFIELD,PO BOX 11 BARNSTEAD 03225,269-4071,Not Applicable,JFIFIELD@BARNSTEAD.ORG,WWW.BARNSTEAD.ORG,7:00 AM - 7:00 PM,BARNSTEAD ELEMENTARY SCHOOL 91 MAPLE ST BARNSTEAD 03225
BARRINGTON,KIMBERLY KEREKES,PO BOX 660 BARRINGTON 03825,664-5476,Not Applicable,KKEREKES@BARRINGTON.NH.GOV,WWW.BARRINGTON.NH.GOV,8:00 AM - 7:00 PM,BARRINGTON MIDDLE SCHOOL 51 HALEY DR BARRINGTON 03825
BARTLETT,CHERYL NEALLEY,56 TOWN HALL ROAD BARTLETT 03845,356-2300,356-2300,TOWNCLERK@TOWNOFBARTLETT.NH.GOV,WWW.BARTLETTNH.ORG,8:00 AM - 7:00 PM,BARTLETT TOWN HALL - 56 TOWN HALL RD 56 TOWN HALL RD BARTLETT 03845
BATH,CARRIE C VOGT,PO BOX 88 BATH 03740,747-2454,747-0497,Not Applicable,BATH-NH.ORG,Not Applicable,BATH FIRE STATION 19 RUM HILL RD BATH 03740
BEAN'S GRANT,CHRISTINA ZORNIO,20 PARK ST BEAN'S GRANT 03581,466-2744,466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK STREET GORHAM - FOR POLLING LOCATION ONLY BEAN'S GRANT 03581
